iter	MultiRMSE
0	353.7722758
1	343.7485086
2	331.8523066
3	322.7880439
4	313.0396047
5	303.690443
6	293.7014331
7	284.4025632
8	277.2295996
9	268.2095861
10	260.8213145
11	254.4393436
12	246.8136378
13	240.2988822
14	233.9458625
15	228.139827
16	222.8973044
17	216.7477606
18	211.8782095
19	206.4116867
20	200.9943238
21	196.4691795
22	191.9243414
23	187.5319012
24	182.5700315
25	178.6044506
26	174.7771421
27	171.5776657
28	167.9631042
29	164.1030247
30	161.0612491
31	157.8316871
32	155.3861865
33	151.7745899
34	148.4254233
35	145.7468545
36	142.5507997
37	140.0626368
38	137.4398284
39	134.8102664
40	132.4414274
41	130.2972332
42	128.3756404
43	126.1021615
44	123.9348541
45	122.1799444
46	119.9812639
47	118.1792011
48	116.4919585
49	114.9638121
50	113.7144044
51	112.3943894
52	111.2420266
53	109.7266603
54	108.1132715
55	106.7619438
56	105.1943366
57	104.1159782
58	102.5422093
59	101.1960809
60	99.73305714
61	98.33038951
62	97.21699204
63	96.25470542
64	94.91394029
65	94.18746898
66	92.68218158
67	91.81151445
68	90.86355155
69	89.85885597
70	88.68830854
71	87.4927916
72	86.37212547
73	85.27713887
74	84.3359775
75	83.58742214
76	82.75629045
77	81.82231201
78	80.75898792
79	80.12644641
80	79.20736351
81	78.5101693
82	77.96102206
83	77.15381438
84	76.1296044
85	75.33851988
86	74.60327119
87	74.04191435
88	73.39129927
89	72.69210073
90	71.93007336
91	71.31865742
92	70.68383239
93	70.15025686
94	69.54474106
95	68.73801158
96	68.33918775
97	67.82730604
98	67.34796528
99	66.81150294
100	66.23805704
101	65.82313851
102	65.20115514
103	64.84076675
104	64.41545496
105	63.82801343
106	63.16254769
107	62.46886979
108	62.1144182
109	61.73726275
110	61.18638907
111	60.79829454
112	60.37907781
113	59.9471326
114	59.34753957
115	58.91208491
116	58.47267525
117	57.97864433
118	57.50591796
119	57.10555805
120	56.68194174
121	56.26350514
122	55.83182562
123	55.39417322
124	54.88941254
125	54.54634297
126	54.2377448
127	53.90649773
128	53.53323201
129	52.98392949
130	52.64032249
131	52.25818735
132	51.86145818
133	51.4244212
134	50.97951603
135	50.61746553
136	50.35425186
137	49.9739884
138	49.53098105
139	48.9774285
140	48.57402887
141	48.09656756
142	47.63708504
143	47.28517276
144	46.85797805
145	46.35466361
146	46.07281268
147	45.69632948
148	45.43960113
149	45.15068438
150	44.78445135
151	44.56688042
152	44.22836466
153	43.99552071
154	43.68142106
155	43.48795464
156	43.35352849
157	43.12464617
158	42.88448503
159	42.43339777
160	42.05486728
161	41.75119524
162	41.54719324
163	41.18476628
164	41.02390009
165	40.71814743
166	40.4787213
167	40.17904349
168	39.82450501
169	39.53863964
170	39.28683148
171	39.03576182
172	38.71895793
173	38.5369583
174	38.15946561
175	37.81631709
176	37.4706892
177	37.17696793
178	36.99061414
179	36.67939677
180	36.42352207
181	36.29123765
182	36.1063754
183	35.90578741
184	35.66797055
185	35.36621305
186	35.18379838
187	34.93136612
188	34.68990353
189	34.4934648
190	34.16993336
191	33.95326856
192	33.70737334
193	33.55332861
194	33.36096183
195	33.06140362
196	32.93987073
197	32.67513536
198	32.39078515
199	32.16784725
200	31.94476845
201	31.57286923
202	31.34263965
203	31.17641851
204	31.04903402
205	30.77889918
206	30.62811344
207	30.488563
208	30.28907243
209	30.17849599
210	29.96350889
211	29.77309648
212	29.53292284
213	29.32872173
214	29.09157459
215	28.93286766
216	28.73195886
217	28.62352767
218	28.48372442
219	28.34093665
220	28.12644635
221	27.9241102
222	27.68154415
223	27.51975095
224	27.42345123
225	27.1404865
226	27.01533448
227	26.81240573
228	26.59459968
229	26.41491956
230	26.21086317
231	26.10309201
232	25.88935414
233	25.72808773
234	25.53836496
235	25.27838757
236	25.06684937
237	24.87548226
238	24.71366472
239	24.60116305
240	24.43906334
241	24.31527291
242	24.21401901
243	24.09821515
244	23.97773103
245	23.84195691
246	23.75680205
247	23.59325237
248	23.47440626
249	23.3832657
250	23.18932777
251	23.02895952
252	22.84266198
253	22.71086472
254	22.54497878
255	22.4025733
256	22.25965616
257	22.11255287
258	22.04002738
259	21.89005869
260	21.80993309
261	21.68057752
262	21.53928506
263	21.42553653
264	21.31325273
265	21.16779455
266	21.08877948
267	21.01899037
268	20.94745854
269	20.85928791
270	20.69039413
271	20.59617042
272	20.45662772
273	20.3366446
274	20.24088936
275	20.09295444
276	20.00414143
277	19.86160165
278	19.74942994
279	19.62487533
280	19.51815985
281	19.36880159
282	19.21216762
283	19.1281313
284	19.02930596
285	18.99400649
286	18.85604895
287	18.77130904
288	18.67871888
289	18.53822848
290	18.4704856
291	18.35085123
292	18.20864495
293	18.11544473
294	18.0203065
295	17.87820754
296	17.84228116
297	17.70394604
298	17.60416934
299	17.48435881
300	17.39619799
301	17.27974815
302	17.17061497
303	17.07195781
304	17.01334749
305	16.92083182
306	16.82172411
307	16.76541422
308	16.66612144
309	16.53175983
310	16.42600262
311	16.36650408
312	16.29398235
313	16.21502815
314	16.09901096
315	16.05785795
316	15.96831902
317	15.86691332
318	15.74446362
