iter	Passed	Remaining
0	48	19471
1	51	10241
2	52	7012
3	54	5422
4	57	4522
5	58	3836
6	59	3341
7	61	2993
8	62	2721
9	64	2517
10	65	2331
11	67	2176
12	68	2049
13	70	1938
14	71	1843
15	73	1760
16	74	1688
17	76	1629
18	78	1567
19	79	1512
20	81	1462
21	82	1424
22	84	1382
23	85	1343
24	87	1308
25	88	1274
26	89	1241
27	91	1212
28	92	1187
29	95	1172
30	96	1150
31	98	1130
32	99	1110
33	101	1093
34	103	1074
35	105	1071
36	107	1059
37	109	1047
38	112	1037
39	114	1026
40	116	1017
41	118	1013
42	120	998
43	122	987
44	124	979
45	125	964
46	126	949
47	128	939
48	129	929
49	131	920
50	133	911
51	134	902
52	136	891
53	137	881
54	138	871
55	140	862
56	142	856
57	143	848
58	145	843
59	147	835
60	148	827
61	150	820
62	151	812
63	153	806
64	155	799
65	156	792
66	158	786
67	159	780
68	162	778
69	163	771
70	165	765
71	166	760
72	169	757
73	171	757
74	173	751
75	174	745
76	176	739
77	177	732
78	179	730
79	181	725
80	183	720
81	184	716
82	186	710
83	188	710
84	190	705
85	192	701
86	194	700
87	196	695
88	197	691
89	199	686
90	200	682
91	202	679
92	204	674
93	205	669
94	206	664
95	208	659
96	209	654
97	210	649
98	212	645
99	213	640
100	216	640
101	218	639
102	221	637
103	223	636
104	225	634
105	228	632
106	230	630
107	232	628
108	233	624
109	235	620
110	236	615
111	238	612
112	239	608
113	240	604
114	242	600
115	244	597
116	245	593
117	246	589
118	247	585
119	249	581
120	250	577
121	251	573
122	252	569
123	254	566
124	255	562
125	257	560
126	258	556
127	260	552
128	261	549
129	264	548
130	266	547
131	268	545
132	271	544
133	273	542
134	275	541
135	278	540
136	279	536
137	282	535
138	284	534
139	286	532
140	289	531
141	291	529
142	293	528
143	296	526
144	298	525
145	301	523
146	303	521
147	305	520
148	307	518
149	310	517
150	313	516
151	315	514
152	317	512
153	320	511
154	322	509
155	325	509
156	326	505
157	328	502
158	329	499
159	332	498
160	333	495
161	335	492
162	336	488
163	337	485
164	338	481
165	339	478
166	340	474
167	341	471
168	342	468
169	343	465
170	344	461
171	345	458
172	347	455
173	348	452
174	349	449
175	350	446
176	351	442
177	352	439
178	353	436
179	354	433
180	355	430
181	356	427
182	357	424
183	359	421
184	360	419
185	361	416
186	363	413
187	365	412
188	366	409
189	367	406
190	369	403
191	370	401
192	371	398
193	372	395
194	373	392
195	374	389
196	375	387
197	376	384
198	378	381
199	379	379
200	380	376
201	381	373
202	382	371
203	383	368
204	384	365
205	385	363
206	386	360
207	387	358
208	389	355
209	390	352
210	391	350
211	392	347
212	393	345
213	395	343
214	397	341
215	398	339
216	399	337
217	401	334
218	402	332
219	403	330
220	405	328
221	406	325
222	407	323
223	408	320
224	409	318
225	410	316
226	411	313
227	413	311
228	414	309
229	415	307
230	417	305
231	418	302
232	419	300
233	420	298
234	421	296
235	423	293
236	424	291
237	425	289
238	426	287
239	427	285
240	428	282
241	429	280
242	430	278
243	432	276
244	433	274
245	434	271
246	435	269
247	436	267
248	437	265
249	439	263
250	440	261
251	443	260
252	444	258
253	446	256
254	447	254
255	449	252
256	450	250
257	451	248
258	453	246
259	454	244
260	456	243
261	458	241
262	459	239
263	460	237
264	461	235
265	463	233
266	464	231
267	465	229
268	466	227
269	468	225
270	469	223
271	470	221
272	471	219
273	473	217
274	474	215
275	475	213
276	476	211
277	477	209
278	478	207
279	480	205
280	481	203
281	482	201
282	483	199
283	484	197
284	485	195
285	486	193
286	487	191
287	489	190
288	490	188
289	493	187
290	494	185
291	495	183
292	497	181
293	498	179
294	499	177
295	500	175
296	501	174
297	503	172
298	504	170
299	505	168
300	506	166
301	508	165
302	510	163
303	511	161
304	512	159
305	513	157
306	514	155
307	515	154
308	517	152
309	518	150
310	519	148
311	520	146
312	521	144
313	522	143
314	523	141
315	525	139
316	526	137
317	527	135
318	528	134
319	529	132
320	530	130
321	531	128
322	533	127
323	534	125
324	535	123
325	536	121
326	538	120
327	539	118
328	540	116
329	541	114
330	543	113
331	545	111
332	547	110
333	549	108
334	551	106
335	552	105
336	553	103
337	554	101
338	556	100
339	557	98
340	558	96
341	559	94
342	560	93
343	561	91
344	562	89
345	564	88
346	565	86
347	566	84
348	567	82
349	568	81
350	569	79
351	570	77
352	571	76
353	573	74
354	574	72
355	575	71
356	576	69
357	577	67
358	578	66
359	579	64
360	580	62
361	581	61
362	582	59
363	584	57
364	585	56
365	586	54
366	587	52
367	588	51
368	589	49
369	590	47
370	592	46
371	593	44
372	594	43
373	595	41
374	596	39
375	597	38
376	599	36
377	600	34
378	601	33
379	602	31
380	603	30
381	604	28
382	605	26
383	606	25
384	608	23
385	609	22
386	610	20
387	611	18
388	612	17
389	613	15
390	615	14
391	616	12
392	617	10
393	618	9
394	619	7
395	620	6
396	622	4
397	623	3
398	624	1
399	625	0
